0,MNIST_CNN_small,1,CONV_2D,160,16,"(28, 28, 1)","(26, 26, 16)","(3, 3)","(1, 1)"
1,MNIST_CNN_small,2,POOL,0,0,"(26, 26, 16)","(13, 13, 16)","(2, 2)","(2, 2)"
2,MNIST_CNN_small,3,FLATTEN,0,,"(13, 13, 16)","(2704,)",,
3,MNIST_CNN_small,4,DENSE,27050,,"(2704,)","(10,)",,
